Day,Government Response Index,Mobility Restriction Index,Policy Stringency Index
148,54.48717949,13.88888889,45.37037037
149,54.48717949,13.88888889,45.37037037
150,54.48717949,13.88888889,45.37037037
151,54.48717949,13.88888889,45.37037037
152,54.48717949,13.88888889,45.37037037
153,54.48717949,13.88888889,45.37037037
154,54.48717949,13.88888889,45.37037037
155,54.48717949,13.88888889,45.37037037
156,54.48717949,13.88888889,45.37037037
157,54.48717949,13.88888889,45.37037037
158,54.48717949,13.88888889,45.37037037
159,54.48717949,13.88888889,45.37037037
160,54.48717949,13.88888889,45.37037037
161,54.48717949,13.88888889,45.37037037
162,54.48717949,13.88888889,45.37037037
163,54.48717949,13.88888889,45.37037037
164,54.48717949,13.88888889,45.37037037
165,54.48717949,13.88888889,45.37037037
166,54.48717949,13.88888889,45.37037037
167,54.48717949,13.88888889,45.37037037
168,54.48717949,13.88888889,45.37037037
169,54.48717949,13.88888889,45.37037037
170,54.48717949,13.88888889,45.37037037
171,54.48717949,13.88888889,45.37037037
172,54.48717949,13.88888889,45.37037037
173,54.48717949,13.88888889,45.37037037
174,54.48717949,13.88888889,45.37037037
175,54.48717949,13.88888889,45.37037037
176,54.48717949,13.88888889,45.37037037
177,54.48717949,13.88888889,45.37037037
178,54.48717949,13.88888889,45.37037037
179,54.48717949,13.88888889,45.37037037
180,54.48717949,13.88888889,45.37037037
181,54.48717949,13.88888889,45.37037037
182,54.48717949,13.88888889,45.37037037
183,54.48717949,13.88888889,45.37037037
184,54.48717949,13.88888889,45.37037037
185,54.48717949,13.88888889,45.37037037
186,54.48717949,13.88888889,45.37037037
187,54.48717949,13.88888889,45.37037037
188,54.48717949,13.88888889,45.37037037
189,54.48717949,13.88888889,45.37037037
